
[2015-07-24 15:09:30,145]StockCrawlerService.py(133): 166105 - HTTP Error 404: Not Found
[2015-07-24 15:09:31,469]StockCrawlerService.py(133): 203019 - HTTP Error 404: Not Found
[2015-07-24 15:09:31,533]StockCrawlerService.py(133): 203020 - HTTP Error 404: Not Found
[2015-07-24 15:09:31,590]StockCrawlerService.py(133): 203021 - HTTP Error 404: Not Found
[2015-07-24 15:09:31,649]StockCrawlerService.py(133): 203031 - HTTP Error 404: Not Found
[2015-07-24 15:09:31,706]StockCrawlerService.py(133): 203032 - HTTP Error 404: Not Found
[2015-07-24 15:09:31,766]StockCrawlerService.py(133): 203033 - HTTP Error 404: Not Found
[2015-07-24 15:09:32,010]StockCrawlerService.py(133): 203043 - HTTP Error 404: Not Found
[2015-07-24 15:09:32,075]StockCrawlerService.py(133): 203044 - HTTP Error 404: Not Found
[2015-07-24 15:09:32,140]StockCrawlerService.py(133): 203045 - HTTP Error 404: Not Found
[2015-07-24 15:09:32,199]StockCrawlerService.py(133): 203049 - HTTP Error 404: Not Found
[2015-07-24 15:09:32,257]StockCrawlerService.py(133): 203050 - HTTP Error 404: Not Found
[2015-07-24 15:09:32,316]StockCrawlerService.py(133): 203051 - HTTP Error 404: Not Found
[2015-07-24 15:09:33,123]StockCrawlerService.py(133): 500001 - HTTP Error 404: Not Found
[2015-07-24 15:09:33,466]StockCrawlerService.py(133): 500007 - HTTP Error 404: Not Found
[2015-07-24 15:09:33,912]StockCrawlerService.py(133): 500029 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,203]StockCrawlerService.py(133): 502000 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,264]StockCrawlerService.py(133): 502001 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,323]StockCrawlerService.py(133): 502002 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,384]StockCrawlerService.py(133): 502006 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,445]StockCrawlerService.py(133): 502007 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,507]StockCrawlerService.py(133): 502008 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,566]StockCrawlerService.py(133): 502013 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,626]StockCrawlerService.py(133): 502014 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,686]StockCrawlerService.py(133): 502015 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,751]StockCrawlerService.py(133): 502020 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,811]StockCrawlerService.py(133): 502021 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,871]StockCrawlerService.py(133): 502022 - HTTP Error 404: Not Found
[2015-07-24 15:09:34,940]StockCrawlerService.py(133): 502036 - HTTP Error 404: Not Found
[2015-07-24 15:09:35,006]StockCrawlerService.py(133): 502037 - HTTP Error 404: Not Found
[2015-07-24 15:09:35,077]StockCrawlerService.py(133): 502038 - HTTP Error 404: Not Found
